Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Map Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts)
0,4791,79,179.8,8.1,12.42,11.3,530,100,100,100,100,0,0,1,0,0,0,0,0,47.82,3.12,4.64,1.65,2.11,0,0,33.4,0,0,-1,0.01,2.41,3.96,0.01,0.01,4.75,1.69,2.16
0.101,4691,79,179.8,8.2,12.39,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,47.52,3.13,4.63,1.66,2.13,0,0,33.2,0,0,-1,0.01,2.4,3.98,0.01,0.01,4.74,1.7,2.18
0.199,4725,79,179.8,8.9,12.42,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,47.95,3.13,4.68,1.66,2.1,0,0,33.3,0,0,-1,0.01,2.42,3.97,0.01,0.01,4.8,1.7,2.15
0.299,4700,79,179.8,8.9,12.39,11.3,530,100,100,100,100,0,0,1,0,0,0,0,0,47.09,3.1,4.68,1.65,2.08,0,0,33.2,0,0,-1,0.01,2.38,3.94,0.01,0.01,4.8,1.69,2.13
0.399,4699,79,179.8,8.9,12.44,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.42,3.16,4.73,1.66,2.08,0,0,32.7,0,0,-1,0.01,2.36,4,0.01,0.01,4.84,1.7,2.13
0.499,4728,79,179.8,8.9,12.43,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.8,3.15,4.6,1.66,2.12,0,0,32.9,0,0,-1,0.01,2.37,4,0.01,0.01,4.71,1.7,2.17
0.599,4734,79,179.8,8.8,12.41,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.05,3.1,4.68,1.65,2.11,0,0,32.6,0,0,-1,0.01,2.34,3.93,0.01,0.01,4.79,1.69,2.16
0.699,4685,79,176.3,9.2,12.38,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,45.95,3.14,4.67,1.65,2.05,0,0,32.3,0,0,-1,0.01,2.34,3.98,0.01,0.01,4.78,1.69,2.1
0.799,4621,79,176.5,8.8,12.51,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,45.9,3.14,4.72,1.64,2.06,0,0,32.1,0,0,-1,0.01,2.34,3.99,0.01,0.01,4.83,1.68,2.11
0.899,4623,79,176.3,9.2,12.45,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.13,3.16,4.64,1.65,2.06,0,0,32.3,0,0,-1,0.01,2.35,4.01,0.01,0.01,4.75,1.69,2.11
0.999,4669,79,176.3,8.9,12.54,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.25,3.13,4.65,1.65,2.07,0,0,31.9,0,0,-1,0.01,2.35,3.97,0.01,0.01,4.77,1.69,2.12
1.099,4659,79,176.3,8.8,12.38,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.67,3.14,4.6,1.65,2.11,0,0,32,0,0,-1,0.01,2.37,3.98,0.01,0.01,4.71,1.69,2.16
1.199,4551,79,176.3,9.5,12.47,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,45.2,3.12,4.68,1.65,2.14,0,0,31.7,0,0,-1,0.01,2.31,3.96,0.01,0.01,4.79,1.69,2.19
1.299,4507,79,176.3,9.4,12.44,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,45.47,3.11,4.65,1.65,2.13,0,0,31.6,0,0,-1,0.01,2.32,3.95,0.01,0.01,4.77,1.69,2.18
1.399,4497,79,176.3,9.4,12.45,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,44.72,3.14,4.67,1.65,2.13,0,0,31.5,0,0,-1,0.01,2.29,3.98,0.01,0.01,4.78,1.69,2.18
1.499,4582,79,176.3,9.5,12.51,11.3,530,100,100,100,100,0,0,1,0,0,0,0,0,45.2,3.14,4.71,1.65,2.13,0,0,31,0,0,-1,0.01,2.31,3.99,0.01,0.01,4.82,1.69,2.18
1.599,4599,79,176.3,9.5,12.44,11.3,530,100,100,100,100,0,0,1,0,0,0,0,0,45.84,3.13,4.65,1.64,2.09,0,0,31.1,0,0,-1,0.01,2.33,3.97,0.01,0.01,4.77,1.68,2.14
1.699,4675,79,176.3,9.3,12.49,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.88,3.13,4.62,1.66,2.07,0,0,31.1,0,0,-1,0.01,2.38,3.97,0.01,0.01,4.73,1.7,2.12
1.8,4636,79,176.3,9.5,12.47,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.77,3.11,4.73,1.66,2.11,0,0,30.8,0,0,-1,0.01,2.37,3.95,0.01,0.01,4.84,1.7,2.16
1.899,4624,79,176.3,9.6,12.52,11.3,530,100,100,100,100,0,0,1,0,0,0,0,0,46.22,3.14,4.65,1.66,2.08,0,0,30.6,0,0,-1,0.01,2.35,3.98,0.01,0.01,4.77,1.7,2.13
1.999,4748,79,176.3,9.4,12.51,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,47.8,3.13,4.6,1.66,2.08,0,0,30.8,0,0,-1,0.01,2.41,3.98,0.01,0.01,4.72,1.7,2.13
