Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock FL,Shock RR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts)
0,4715,84.4,179.8,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.95,0.01,0.01,0.01,0.01,1.61,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.65,0.04
0.099,4697,84.4,179.8,11.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.65,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.67,0.04
0.199,4726,84.4,179.8,10.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.67,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.67,0.04
0.299,4693,84.4,179.8,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.55,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.67,0.04
0.399,4713,84.4,179.8,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.5,0.01,0.01,0.01,0.01,1.61,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.65,0.04
0.499,4721,84.4,179.8,11.9,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.13,0.01,0.01,0.01,0.01,1.6,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.64,0.04
0.599,4652,84.4,179.8,12.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.67,0.01,0.01,0.01,0.01,1.61,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.65,0.04
0.699,4666,84.4,179.8,12.5,10.5,530,100,100,100,0,0,1,0,0,0,0,0,42.27,0.01,0.01,0.01,0.01,1.61,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.65,0.04
0.799,4708,84.4,179.8,12.5,10.5,530,100,100,100,0,0,1,0,0,0,0,0,42.4,0.01,0.01,0.01,0.01,1.61,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.65,0.04
0.899,4721,84.4,179.8,12.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.77,0.01,0.01,0.01,0.01,1.62,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.65,0.04
